algorithm,dataset,size,batch,run_in_batch,seed,runs,runtime,emissions_per_run,cpu_energy_per_run,ram_energy_per_run,energy_consumed_per_run
insertion_sort,almost_sorted,1000,0,0,42,185,0.010854846356757071,4.160287573373602e-10,7.557496238738928e-08,3.0087025045045e-08,1.0566198743243429e-07
tim_sort,sorted,10000,0,0,42,24664,8.109143456049268e-05,3.1075378456581603e-12,5.645251068809274e-10,2.2471991285093383e-10,7.89245019731861e-10
bubble_sort,unsorted,10000,0,0,42,1,3.25571624600002,1.2460863668763744e-07,2.264267334027734e-05,9.005129777777813e-06,3.164780311805515e-05
quick_sort,reverse_sorted,1000,0,0,42,2363,0.0008464175518408968,3.2438552941827656e-11,5.892524768420597e-09,2.346141219965275e-09,8.23866598838587e-09
bubble_sort,reverse_sorted,1000,0,0,42,55,0.03714845496363688,1.4226122711241456e-09,2.585816027777839e-07,1.0273005479797864e-07,3.613116575757625e-07
bubble_sort,almost_sorted,1000,0,0,42,111,0.018046484576577135,6.915899845322832e-10,1.2563438876376175e-07,5.001397920420242e-08,1.7564836796796418e-07
tim_sort,sorted,1000,0,0,42,313841,6.3726613858608845e-06,2.442250805668497e-13,4.4366421058400095e-11,1.7661280004134975e-11,6.202770106253508e-11
insertion_sort,sorted,1000,0,0,42,183,0.01098554444262306,4.210599540231141e-10,7.649027052974817e-08,3.0449528187614085e-08,1.0693979871736225e-07
insertion_sort,unsorted,1000,0,0,42,173,0.011565396999999734,4.4323082596999876e-10,8.051740952151315e-08,3.205329415542665e-08,1.1257070367693982e-07
quick_sort,unsorted,10000,0,0,42,138,0.01454781844927558,5.575741677993853e-10,1.0128965801127387e-07,4.0321693780195225e-08,1.416113517914691e-07
quick_sort,reverse_sorted,10000,0,0,42,187,0.010751310021390584,4.1206290629145795e-10,7.485456554515653e-08,2.9800184536540396e-08,1.0465475008169694e-07
insertion_sort,sorted,10000,0,0,42,2,1.317285193000032,5.044348211954607e-08,9.165114347222274e-06,3.6464004333331623e-06,1.2811514780555436e-05
bubble_sort,sorted,1000,0,0,42,117,0.017175345256410204,6.582710388775095e-10,1.1958323183760498e-07,4.760287010921056e-08,1.6718610194681554e-07
insertion_sort,almost_sorted,10000,0,0,42,2,1.3194127610000237,5.0524784752154644e-08,9.179500690971942e-06,3.6526631375000165e-06,1.283216382847196e-05
merge_sort,almost_sorted,1000,0,0,42,1951,0.001025585383905679,3.930239388655929e-11,7.1395941753516864e-09,2.84233369781864e-09,9.981927873170327e-09
bubble_sort,unsorted,1000,0,0,42,68,0.029738711073530138,1.1414599230798138e-09,2.0748382945261692e-07,8.242142810457682e-08,2.899052575571938e-07
tim_sort,reverse_sorted,10000,0,0,42,19645,0.00010180854919826985,3.901547036580071e-12,7.087229734029244e-10,2.8218259904980554e-10,9.9090557245273e-10
bubble_sort,sorted,10000,0,0,42,1,2.0053837299999486,7.685102179712337e-08,1.3960401527777815e-05,5.558036936110966e-06,1.951843846388878e-05
insertion_sort,reverse_sorted,1000,0,0,42,163,0.012279567711656583,4.705873745604711e-10,8.548434027777996e-08,3.403431409338867e-08,1.1951865437116864e-07
quick_sort,almost_sorted,10000,0,0,42,187,0.010747785069518366,4.1189000976231493e-10,7.482396019014173e-08,2.9786878045157052e-08,1.0461083823529881e-07
tim_sort,unsorted,1000,0,0,42,31617,6.32579104279326e-05,2.424151333752973e-12,4.4037578676028467e-10,1.7530436333477113e-10,6.156801500950558e-10
quick_sort,sorted,10000,0,0,42,187,0.010699279716577208,4.10017924773698e-10,7.448158474450869e-08,2.965378582887728e-08,1.0413537057338597e-07
quick_sort,sorted,1000,0,0,42,2393,0.0008360236481403954,3.200835627988913e-11,5.820358882388284e-09,2.3090467880855657e-09,8.129405670473849e-09
bubble_sort,almost_sorted,10000,0,0,42,1,2.038166304000015,7.80401432527365e-08,1.418974186111102e-05,5.6307068222221485e-06,1.982044868333317e-05
merge_sort,almost_sorted,10000,0,0,42,149,0.013454112000000356,5.156507240551273e-10,9.367119849925589e-08,3.729253745339258e-08,1.3096373595264848e-07
